title,popularity,vote_count,vote_average,genre,release_year
Pirates of the Caribbean: At World's End,138.455,11783,7.2,"Adventure, Fantasy, Action",2007
Legion,138.379,2031,5.8,"Horror, Action, Fantasy",2010
Rascal Does Not Dream of a Dreaming Girl,138.231,352,8.4,"Animation, Comedy, Romance, Drama, Fantasy",2019
Peter Rabbit 2: The Runaway,138.179,517,7.3,"Family, Comedy, Adventure, Animation, Fantasy",2021
Dragon Ball Z: Battle of Gods,138.024,1193,6.8,"Animation, Action, Science Fiction",2013
Redemption Day,137.585,194,6.3,Action,2021
Journey 2: The Mysterious Island,137.215,3447,6.1,"Adventure, Action, Science Fiction",2012
Love & Other Drugs,136.846,4120,7,"Drama, Comedy, Romance",2010
The King's Daughter,136.819,353,7.4,"Fantasy, Drama, Romance, History",2022
Deadpool 2,136.303,14395,7.5,"Action, Comedy, Adventure",2018
The Fate of the Furious,136.14,8785,6.9,"Action, Crime, Thriller",2017
Hancock,135.893,7944,6.3,"Fantasy, Action",2008
The Hunger Games: Mockingjay - Part 1,135.46,13384,6.8,"Science Fiction, Adventure, Thriller",2014
Dragon Ball Z: Broly – Second Coming,135.183,503,6.7,"Animation, Action, Science Fiction",1994
The Conjuring,134.742,9169,7.5,"Horror, Thriller",2013
Sweet & Sour,134.71,82,7.9,"Comedy, Romance",2021
The Belly of the Sea,134.626,2,4,Drama,2021
Grisaia: Phantom Trigger The Animation,134.436,2,3.5,"Action, Animation",2020
Fantastic Beasts and Where to Find Them,133.611,16206,7.3,"Adventure, Fantasy",2016
World War Z,133.445,12838,6.8,"Action, Drama, Horror, Science Fiction, Thriller",2013
